"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"28","RT @JoseDreyfus: Choque no hay heridos anillo periferico y San Juan #traficogt @amilcarmontejo @CiudadPmt https://t.co/DBaDeALost",FALSE,0,NA,2019-10-19 19:58:28,FALSE,NA,"1185646414187192321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VictorP11869364",5,TRUE,FALSE,NA,NA
"29","RT @JoseDreyfus: Choque no hay heridos anillo periferico y San Juan #traficogt @amilcarmontejo @CiudadPmt https://t.co/DBaDeALost",FALSE,0,NA,2019-10-19 19:56:04,FALSE,NA,"1185645813168521221",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilcarmontejo",5,TRUE,FALSE,NA,NA
"30","RT @Guatevision_tv: #FrenenemosLosAccidentes | Una persona resultó herida en un accidente de #TráficoGT en el km 55 de la ruta al Atlántico…",FALSE,0,NA,2019-10-19 19:38:36,FALSE,NA,"1185641415872782336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ricardo_2517",0,TRUE,FALSE,NA,NA
"31","Choque no hay heridos anillo periferico y San Juan #traficogt @amilcarmontejo @CiudadPmt https://t.co/DBaDeALost",FALSE,12,NA,2019-10-19 19:35:03,FALSE,NA,"1185640524813946880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseDreyfus",5,FALSE,FALSE,NA,NA
"32","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 19:34:45,FALSE,NA,"1185640446028140545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DIGITALNEWS2O16",8,TRUE,FALSE,NA,NA
"33","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 19:27:37,FALSE,NA,"1185638652929556486",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisFer62165592",8,TRUE,FALSE,NA,NA
"34","RT @SuperChapinGT: Jajajajaja. 😆😆😆😆😆. @McDonalds !!!!   #TraficoGT #AhoraSuena #MeGustanMayores https://t.co/EyWNmATh7t",FALSE,0,NA,2019-10-19 19:27:27,FALSE,NA,"1185638612467093504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jerson37484012",7,TRUE,FALSE,NA,NA
"35","Lluvias intensas desde las 12:20 PM, afectan varias zonas de la ciudad capital. Prudencia en regiones Pacífico y Or… https://t.co/IQCr06n9Ci",FALSE,1,NA,2019-10-19 19:14:04,TRUE,NA,"1185635243895771136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desastresgt",0,FALSE,FALSE,NA,NA
"36","#traficoGT #transitoGT fuerte accidente en el Km. 39 carretera Interamericana, carril hacia la ciudad de Guatemala.… https://t.co/11NXqvqr4E",FALSE,0,NA,2019-10-19 18:56:17,TRUE,NA,"1185630765951913984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InvestigacinTr1",0,FALSE,FALSE,NA,NA
"37","Con este #traficogt comienzo a comprender a los de villa nueva 😂😅 https://t.co/CdKShv683e",FALSE,0,NA,2019-10-19 18:50:56,FALSE,NA,"1185629421358723073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","memevelasqez",0,FALSE,FALSE,NA,NA
"38","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 18:45:26,FALSE,NA,"1185628037544599552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marisaguatemala",8,TRUE,FALSE,NA,NA
"39","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 18:13:25,FALSE,NA,"1185619980450177025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ricardo_2517",61,TRUE,FALSE,NA,NA
